,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Port Elizabeth,-33.918,25.5701,66.2,68,0,14.97,ZA,1612242721
1,Souillac,-20.5167,57.5167,86.0,70,40,14.97,MU,1612242983
2,Tilichiki,60.4667,166.1,8.15,96,100,8.52,RU,1612242984
3,Vaini,-21.2,-175.2,82.4,78,40,25.32,TO,1612242985
4,Bredasdorp,-34.5322,20.0403,64.4,55,0,11.5,ZA,1612242985
5,Beringovskiy,63.05,179.3167,26.58,98,97,20.69,RU,1612242985
6,Rikitea,-23.1203,-134.9692,78.39,77,100,15.82,PF,1612242986
7,Hilo,19.7297,-155.09,69.8,78,1,5.48,US,1612242986
8,Ushuaia,-54.8,-68.3,48.2,87,75,9.22,AR,1612242986
9,Itarema,-2.9248,-39.9167,78.17,81,100,12.17,BR,1612242986
10,Lebu,-37.6167,-73.65,55.72,89,2,13.2,CL,1612242852
11,Jedburgh,55.48,-2.552,36.0,92,100,16.15,GB,1612242986
12,Mirny,62.5353,113.9611,-35.19,81,83,8.05,RU,1612242987
13,Saiha,22.4833,92.9667,77.97,16,0,3.24,IN,1612242987
14,Punta Arenas,-53.15,-70.9167,51.8,76,0,35.68,CL,1612242803
15,Bac Lieu,9.285,105.7244,83.23,60,35,16.8,VN,1612242988
16,Kapaa,22.0752,-159.319,71.6,88,40,13.8,US,1612242988
17,Jamestown,42.097,-79.2353,21.99,93,90,10.36,US,1612242988
18,Atuona,-9.8,-139.0333,78.6,80,2,14.36,PF,1612242988
19,Hobart,-42.8794,147.3294,69.01,40,75,14.97,AU,1612242819
20,Ahipara,-35.1667,173.1667,68.77,65,9,4.5,NZ,1612242988
21,Ribeira Grande,38.5167,-28.7,57.87,66,100,30.2,PT,1612242989
22,Oudtshoorn,-33.5907,22.2014,57.2,77,0,4.61,ZA,1612242989
23,Mataura,-46.1927,168.8643,79.93,36,83,3.24,NZ,1612242989
24,Luganville,-15.5333,167.1667,84.78,72,100,14.61,VU,1612242989
25,Boa Esperança,-21.09,-45.5658,67.03,93,100,2.77,BR,1612242990
26,Saint George,37.1041,-113.5841,51.8,43,90,8.05,US,1612242990
27,Cayenne,4.9333,-52.3333,77.0,94,75,9.22,GF,1612242806
28,Olafsvik,64.8945,-23.7142,35.11,81,100,12.46,IS,1612242990
29,Sirajganj,24.45,89.7167,65.75,52,14,7.0,BD,1612242990
30,Rio Grande,-32.035,-52.0986,72.0,97,56,7.25,BR,1612242990
31,Busselton,-33.65,115.3333,88.12,31,0,9.66,AU,1612242991
32,Severo-Kuril'Sk,50.6789,156.125,22.21,96,100,21.54,RU,1612242991
33,Kasane,-17.8167,25.15,69.8,100,75,4.61,BW,1612242724
34,Ilulissat,69.2167,-51.1,3.2,85,90,19.57,GL,1612242736
35,Dikson,73.5069,80.5464,-13.74,85,97,15.32,RU,1612242710
36,Hualmay,-11.0964,-77.6139,69.03,83,84,3.94,PE,1612242991
37,Tegul'Det,57.3064,88.1667,-1.91,87,54,3.04,RU,1612242992
38,Butaritari,3.0707,172.7902,81.72,83,67,15.28,KI,1612242992
39,Arlit,18.7369,7.3853,57.43,29,0,2.59,NE,1612242992
40,Saint-Philippe,-21.3585,55.7679,86.0,66,75,3.44,RE,1612242992
41,Cidreira,-30.1811,-50.2056,74.43,86,0,9.6,BR,1612242992
42,Langsa,4.4683,97.9683,92.5,49,68,2.57,ID,1612242993
43,Salò,45.6086,10.531,36.0,93,75,3.44,IT,1612242993
44,Caravelas,-17.7125,-39.2481,74.01,89,100,4.14,BR,1612242993
45,Barrow,71.2906,-156.7887,-25.6,68,1,12.66,US,1612242993
46,George Town,5.4112,100.3354,87.8,62,40,4.61,MY,1612242993
47,Chabahar,25.2919,60.643,69.44,59,0,4.72,IR,1612242993
48,Bengkulu,-3.8004,102.2655,86.49,60,60,9.19,ID,1612242994
49,Lüderitz,-26.6481,15.1594,61.56,84,0,12.39,NA,1612242994
50,Cherskiy,68.75,161.3,5.05,92,100,6.64,RU,1612242994
51,Albany,42.6001,-73.9662,24.01,84,100,4.0,US,1612242719
52,Anadyr,64.75,177.4833,15.8,92,90,44.74,RU,1612242995
53,Thompson,55.7435,-97.8558,10.4,92,75,3.44,CA,1612242862
54,Uray,60.1247,64.7758,14.38,95,0,11.27,RU,1612242995
55,Majene,-3.5403,118.9707,88.65,58,93,12.5,ID,1612242737
56,Hermanus,-34.4187,19.2345,66.0,62,0,1.99,ZA,1612242996
57,La Ronge,55.1001,-105.2842,15.8,86,100,5.75,CA,1612242996
58,Omsukchan,62.5333,155.8,-30.5,80,100,4.38,RU,1612242996
59,Port Alfred,-33.5906,26.891,66.99,72,58,3.0,ZA,1612242715
60,Clyde River,70.4692,-68.5914,-23.8,69,1,2.3,CA,1612242997
61,Bluff,-46.6,168.3333,64.24,69,81,7.05,NZ,1612242997
62,Ekhabi,53.5102,142.9671,-24.57,84,100,17.47,RU,1612242997
63,Dom Pedrito,-30.9828,-54.6731,70.83,91,76,5.35,BR,1612242997
64,Hong Kong,22.2855,114.1577,81.0,60,20,8.05,HK,1612242997
65,San Patricio,28.017,-97.5169,50.0,66,1,6.22,US,1612242998
66,Moramanga,-18.9333,48.2,71.42,85,89,3.0,MG,1612242998
